Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-31,0.5,0.5,0.5,0.5
2014-02-28,0.7,0.7,0.7,0.7
2014-03-31,0.7,0.7,0.7,0.7
2014-04-30,0.3,0.3,0.3,0.3
2014-05-31,0.2,0.2,0.2,0.2
2014-06-30,0.3,0.3,0.3,0.3
2014-07-31,-0.2,-0.2,-0.2,-0.2
2014-08-31,-0.3,-0.3,-0.3,-0.3
2014-09-30,-0.3,-0.3,-0.3,-0.3
2014-10-31,-0.6,-0.6,-0.6,-0.6
2014-11-30,-0.6,-0.6,-0.6,-0.6
2014-12-31,-1,-1,-1,-1
2015-01-31,-1.4,-1.4,-1.4,-1.4
2015-02-28,-1.6,-1.6,-1.6,-1.6
2015-03-31,-1.5,-1.5,-1.5,-1.5
2015-04-30,-1.1,-1.1,-1.1,-1.1
2015-05-31,-0.9,-0.9,-0.9,-0.9
2015-06-30,-0.8,-0.8,-0.8,-0.8
2015-07-31,-0.7,-0.7,-0.7,-0.7
2015-08-31,-0.6,-0.6,-0.6,-0.6
2015-09-30,-0.8,-0.8,-0.8,-0.8
2015-10-31,-0.7,-0.7,-0.7,-0.7
2015-11-30,-0.6,-0.6,-0.6,-0.6
2015-12-31,-0.5,-0.5,-0.5,-0.5
2016-01-31,-0.9,-0.9,-0.9,-0.9
2016-02-29,-0.8,-0.8,-0.8,-0.8
2016-03-31,-0.9,-0.9,-0.9,-0.9
2016-04-30,-1.1,-1.1,-1.1,-1.1
2016-05-31,-0.9,-0.9,-0.9,-0.9
2016-06-30,-0.8,-0.8,-0.8,-0.8
2016-07-31,-0.9,-0.9,-0.9,-0.9
2016-08-31,-0.8,-0.8,-0.8,-0.8
2016-09-30,-0.5,-0.5,-0.5,-0.5
2016-10-31,-0.2,-0.2,-0.2,-0.2
2016-11-30,0,0,0,0
2016-12-31,0.8,0.8,0.8,0.8
2017-01-31,1.7,1.7,1.7,1.7
2017-02-28,2.2,2.2,2.2,2.2
2017-03-31,2,2,2,2
2017-04-30,2,2,2,2
2017-05-31,1.9,1.9,1.9,1.9
2017-06-30,1.5,1.5,1.5,1.5
2017-07-31,1.7,1.7,1.7,1.7
2017-08-31,1.8,1.8,1.8,1.8
2017-09-30,2.2,2.2,2.2,2.2
2017-10-31,2.1,2.1,2.1,2.1
2017-11-30,2.5,2.5,2.5,2.5
2017-12-31,2.1,2.1,2.1,2.1
2018-01-31,1.9,1.9,1.9,1.9
2018-02-28,1.4,1.4,1.4,1.4
2018-03-31,1.3,1.3,1.3,1.3
2018-04-30,1.6,1.6,1.6,1.6
2018-05-31,1.7,1.7,1.7,1.7
