Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-02,2.72,2.72,2.72,2.72
2014-01-03,2.72,2.72,2.72,2.72
2014-01-07,2.72,2.72,2.72,2.72
2014-01-08,2.72,2.72,2.72,2.72
2014-01-09,2.72,2.72,2.72,2.72
2014-01-10,2.72,2.72,2.72,2.72
2014-01-13,2.72,2.72,2.72,2.72
2014-01-14,2.72,2.72,2.72,2.72
2014-01-15,2.72,2.72,2.72,2.72
2014-01-16,2.72,2.72,2.72,2.72
2014-01-17,2.72,2.72,2.72,2.72
2014-01-20,2.72,2.72,2.72,2.72
2014-01-21,2.72,2.72,2.72,2.72
2014-01-22,2.72,2.72,2.72,2.72
2014-01-23,2.72,2.72,2.72,2.72
2014-01-24,2.72,2.72,2.72,2.72
2014-01-27,2.72,2.72,2.72,2.72
2014-01-28,2.72,2.72,2.72,2.72
2014-01-29,2.72,2.72,2.72,2.72
2014-01-30,2.72,2.72,2.72,2.72
2014-01-31,2.73,2.73,2.73,2.73
2014-02-03,2.73,2.73,2.73,2.73
2014-02-04,2.73,2.73,2.73,2.73
2014-02-05,2.73,2.73,2.73,2.73
2014-02-06,2.73,2.73,2.73,2.73
2014-02-07,2.73,2.73,2.73,2.73
2014-02-10,2.73,2.73,2.73,2.73
2014-02-11,2.73,2.73,2.73,2.73
2014-02-12,2.74,2.74,2.74,2.74
2014-02-13,2.74,2.74,2.74,2.74
2014-02-14,2.74,2.74,2.74,2.74
2014-02-17,2.74,2.74,2.74,2.74
2014-02-18,2.74,2.74,2.74,2.74
2014-02-19,2.74,2.74,2.74,2.74
2014-02-20,2.74,2.74,2.74,2.74
2014-02-21,2.74,2.74,2.74,2.74
2014-02-24,2.74,2.74,2.74,2.74
2014-02-25,2.74,2.74,2.74,2.74
2014-02-26,2.74,2.74,2.74,2.74
2014-02-27,2.74,2.74,2.74,2.74
2014-02-28,2.74,2.74,2.74,2.74
2014-03-03,2.74,2.74,2.74,2.74
2014-03-04,2.74,2.74,2.74,2.74
2014-03-05,2.74,2.74,2.74,2.74
2014-03-06,2.74,2.74,2.74,2.74
2014-03-07,2.74,2.74,2.74,2.74
